Wed Oct 27 02:54:07 2021    output.dat

         474150 function calls (473713 primitive calls) in 11.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      480    0.001    0.000    0.001    0.000 /usr/lib/python3.8/http/client.py:977(_output)
       60    0.001    0.000    0.027    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:581(from_httplib)
      840    0.001    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:698(__init__)
      120    0.001    0.000    0.010    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:803(select_proxy)
      120    0.001    0.000    0.011    0.000 /usr/lib/python3.8/http/cookiejar.py:1596(make_cookies)
      120    0.001    0.000    0.054    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:92(clear)
      120    0.001    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:113(__init__)
      360    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:59(__iter__)
       60    0.001    0.000    2.823    0.047 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/ssl_.py:355(ssl_wrap_socket)
       60    0.001    0.000    0.033    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:255(build_response)
       60    0.001    0.000    0.152    0.003 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:701(merge_environment_settings)
       60    0.001    0.000    0.035    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:231(request)
       60    0.001    0.000    0.012    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:362(__init__)
      203    0.001    0.000    3.946    0.019 /usr/lib/python3.8/ssl.py:1090(read)
      180    0.001    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:738(<lambda>)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.8/socket.py:301(makefile)
      120    0.001    0.000    0.018    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:118(extract_cookies_to_jar)
       60    0.001    0.000    0.225    0.004 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:273(rebuild_proxies)
       60    0.001    0.000    0.001    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      360    0.001    0.000    0.003    0.000 /usr/lib/python3.8/http/cookiejar.py:1223(deepvalues)
     31/1    0.001    0.000    3.044    3.044 script.py:66(fill_streamers_json)
      300    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/packages/six.py:992(ensure_str)
      420    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/_internal_utils.py:14(to_native_string)
      180    0.001    0.000    0.010    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:297(<listcomp>)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.8/ssl.py:544(set_alpn_protocols)
      120    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/ssl_.py:457(is_ipaddress)
      240    0.001    0.000    0.002    0.000 /usr/lib/python3.8/socket.py:97(_intenum_converter)
      855    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       77    0.001    0.000    0.008    0.000 /usr/lib/python3.8/json/decoder.py:332(decode)
       60    0.001    0.000    0.003    0.000 /usr/lib/python3.8/http/cookiejar.py:1353(add_cookie_header)
      720    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
      420    0.001    0.000    0.001    0.000 {method 'subn' of 're.Pattern' objects}
       60    0.001    0.000    0.085    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:310(prepare)
      362    0.001    0.000    0.001    0.000 {built-in method time.time}
      120    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/poolmanager.py:170(__init__)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.8/email/feedparser.py:101(push)
      241    0.001    0.000    0.002    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
      241    0.001    0.000    0.004    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
      120    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/retry.py:225(__init__)
      203    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       60    0.001    0.000    1.513    0.025 /usr/lib/python3.8/socket.py:901(getaddrinfo)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       45    0.001    0.000    0.010    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:481(read)
      720    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:119(_validate_timeout)
       60    0.001    0.000    6.418    0.107 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:1002(_validate_conn)
       60    0.001    0.000    0.005    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:966(_new_conn)
      240    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      120    0.001    0.000    0.002    0.000 /usr/lib/python3.8/ssl.py:710(verify_mode)
      120    0.001    0.000    0.003    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:529(merge_cookies)
        8    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       60    0.001    0.000    0.003    0.000 /usr/lib/python3.8/ssl.py:1193(sendall)
      420    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      180    0.001    0.000    0.009    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:37(__init__)
       60    0.001    0.000   11.445    0.191 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/api.py:16(request)
      180    0.001    0.000    0.008    0.000 /usr/lib/python3.8/email/message.py:588(get_content_maintype)
       60    0.001    0.000    0.059    0.001 /usr/lib/python3.8/email/parser.py:41(parse)
      120    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      182    0.001    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:222(__init__)
      180    0.001    0.000    0.004    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:74(<listcomp>)
       60    0.001    0.000    2.355    0.039 /usr/lib/python3.8/ssl.py:1302(do_handshake)
       60    0.001    0.000    0.001    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:482(_parse_content_type_header)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.8/queue.py:33(__init__)
       60    0.001    0.000    0.004    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:604(__init__)
      660    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
      120    0.001    0.000    0.004    0.000 /usr/lib/python3.8/urllib/parse.py:474(urlunparse)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.8/ssl.py:324(_inet_paton)
       60    0.001    0.000    0.002    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:115(__init__)
      586    0.001    0.000    0.001    0.000 /usr/lib/python3.8/ssl.py:1078(_checkClosed)
