User,Games,language
kkoma,['League of Legends'],Korean
komanche,"['Just Chatting', 'Grand Theft Auto V', 'Minecraft', 'Fortnite', 'Call of Duty: Warzone']",Spanish
korpick2,"['Teamfight Tactics', 'League of Legends', 'Diablo II: Resurrected', 'Just Chatting', 'The Evil Within']",Korean
kranichhs,"['Hearthstone', 'Magic: The Gathering', 'Outlast', 'Just Chatting', 'StarCraft']",Korean
krbobae,"['Teamfight Tactics', 'League of Legends', 'Just Chatting']",Korean
kuiki771,"['Just Chatting', 'League of Legends', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Minecraft', 'LOST ARK']",Korean
kumikomii,"['Just Chatting', 'LOST ARK', 'Minecraft', 'Music', 'Project Zomboid']",Korean
laurebv,['Just Chatting'],French
lazmall,"['League of Legends', 'Just Chatting', ""Don't Starve Together"", 'VALORANT', 'Going Medieval']",Japanese
lazvell,"['VALORANT', 'Apex Legends', 'Dark Souls', 'Just Chatting', 'Watch Parties']",Japanese
lck,['League of Legends'],English
lck_korea,"['League of Legends', 'League of Legends: Wild Rift']",Korean
lcs,['League of Legends'],English
lec,['League of Legends'],English
lec_wooloo,['League of Legends'],English
leechunhyang,"['Just Chatting', 'League of Legends', 'LOST ARK', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Eternal Return: Black Survival']",Korean
lestream,"['Just Chatting', 'Special Events', 'Board Games', 'Food & Drink', 'Travel & Outdoors']",French
lilpaaaaaa,"['Just Chatting', 'Minecraft', 'Sea of Thieves', 'Inscryption', 'League of Legends']",Korean
lilypichu,"['VALORANT', 'League of Legends', 'Just Chatting', 'Gartic Phone', 'Art']",English
liminhag0d,"['Counter-Strike: Global Offensive', 'Just Chatting', 'GeoGuessr', 'VALORANT', 'War by Grow Games']",Portuguese
liok0485,"['League of Legends', 'Art', 'Minecraft', 'Eternal Return: Black Survival', 'LOST ARK']",Korean
lita282,"['Just Chatting', 'Grand Theft Auto V', 'VALORANT', 'Minecraft', 'League of Legends']",Korean
littlebigwhale,"['Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Apex Legends', 'Special Events', 'Hollow Knight']",French
ljh0328,"['Teamfight Tactics', 'LOST ARK', 'League of Legends', 'Just Chatting', 'StarCraft']",Korean
lllllamar,"['LOST ARK', 'Lost Ark Online', 'Just Chatting', 'Teamfight Tactics', 'Agrou']",Korean
lol_ambition,"['League of Legends', 'Just Chatting', 'StarCraft']",Korean
lol_cuvee,"['League of Legends', 'DJMAX Respect', 'Danganronpa 2: Goodbye Despair', 'Genshin Impact', 'Hollow Knight']",Korean
lol_khan,['League of Legends'],Korean
lol_nemesis,"['League of Legends', 'Just Chatting', 'VALORANT', 'Resident Evil Village', 'SOMA']",English
lol_peanut,"['League of Legends', 'Red Dead Redemption 2', 'Dungeon Fighter Online', 'Just Chatting']",Korean
lol_woolf,"['League of Legends', 'LOST ARK', 'Genshin Impact', 'StarCraft', 'Just Chatting']",Korean
loltyler1,"['League of Legends', 'Fitness & Health', 'Resident Evil Village', 'VALORANT', 'Just Chatting']",English
looksam,"['LOST ARK', 'League of Legends', 'StarCraft', 'Hearthstone', 'Just Chatting']",Korean
lotear0709,"['Just Chatting', 'Eternal Return', 'Eternal Return: Black Survival', 'Minecraft', 'Human: Fall Flat']",Korean
loud_babi,"['Garena Free Fire', 'Grand Theft Auto V', 'Just Chatting', 'Resident Evil Village', '8 Ball Pool']",Portuguese
loud_bradoock,"['Garena Free Fire', 'FIFA 21', 'Just Chatting', 'Call of Duty: Warzone', 'League of Legends']",Portuguese
loud_coringa,"['Grand Theft Auto V', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Garena Free Fire', 'Special Events']",Portuguese
loud_crusher,"['Garena Free Fire', 'Just Chatting', 'Among Us', '8 Ball Pool', 'garena free fire']",Portuguese
loud_mob,"['Garena Free Fire', 'Just Chatting', 'Grand Theft Auto V', 'FIFA 21', 'FIFA 20']",Portuguese
loud_thaiga,"['Just Chatting', 'League of Legends', 'Garena Free Fire', 'Call of Duty: Mobile', 'Grand Theft Auto V']",Portuguese
loud_thurzin,"['Garena Free Fire', 'Grand Theft Auto V', 'Counter-Strike: Global Offensive', 'Pummel Party', 'Just Chatting']",Portuguese
loud_voltan,"['Garena Free Fire', 'Just Chatting', 'Grand Theft Auto V', '8 Ball Pool', 'Little Nightmares II']",Portuguese
lovelyyeon,"['Just Chatting', 'League of Legends', 'LOST ARK', 'Lost Judgment', 'Games + Demos']",Korean
lpl,"['League of Legends', 'Teamfight Tactics']",English
lubatv,"['Just Chatting', 'Dark Souls', 'World of Warcraft', 'Pokémon Unite', 'Pokémon FireRed/LeafGreen']",Portuguese
ludwig,"['Just Chatting', 'VALORANT', 'Pokémon Platinum', 'Chess', 'Rust']",English
lululuvely,"['Apex Legends', 'Rust', 'Overwatch', 'Call of Duty: Warzone', 'VALORANT']",English
lyj0729,"['Dungeon Fighter Online', 'LOST ARK', 'League of Legends', 'Just Chatting', 'StarCraft']",Korean
ma_mwa,"['Just Chatting', 'League of Legends', 'Minecraft', 'Music', 'LOST ARK']",Korean
magenta62,"['Just Chatting', 'Minecraft', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Games + Demos', 'Dead by Daylight']",Korean
makiba7,"['VALORANT', 'Counter-Strike: Global Offensive', 'Naraka: Bladepoint', 'Among Us']",Japanese
makiymagi,"['Just Chatting', 'Minecraft', 'Music', 'Brain Meltdown - Into Despair', 'Overcooked! 2']",Korean
mamabenjyfishy1,['Fortnite'],English
mande,"['Apex Legends', 'Just Chatting', 'just chatting', 'Dark Souls III', 'Sekiro: Shadows Die Twice']",English
maoruya,"['Just Chatting', 'League of Legends', 'Apex Legends', 'Minecraft', 'SOMA']",Korean
marexlol,"['League of Legends', 'The Binding of Isaac: Afterbirth', 'Path of Exile', 'Darkest Dungeon', 'Among Us']",French
meiy_vl,"['VALORANT', 'Apex Legends', 'Just Chatting', 'Fortnite', 'PUBG: BATTLEGROUNDS']",Japanese
melina,"['Just Chatting', 'Pools, Hot Tubs, and Beaches', 'Just Dance', 'Raid: Shadow Legends']",English
meongsoon,"['Teamfight Tactics', 'Just Chatting', 'Tekken 7', 'League of Legends']",Korean
meowko,"['Just Chatting', 'Yakuza 0', 'Pools, Hot Tubs, and Beaches', ""I'm Only Sleeping"", 'Beat Saber']",English
michaelreeves,"['Minecraft', 'Splitgate', 'VALORANT', 'Science & Technology']",English
michou_twitch,['Minecraft'],French
midbeast,"['League of Legends', 'Apex Legends', 'Auto Chess', 'Raid: Shadow Legends', 'Knockout City']",English
midong1030,"['Just Chatting', 'League of Legends', 'Tekken 7', 'StarCraft II', 'Sudden Attack']",Korean
mister903,"['Art', 'Just Chatting', 'Genshin Impact', 'League of Legends', 'Dungeon Fighter Online']",Korean
mistermv,"['The Binding of Isaac: Afterbirth', 'Special Events', 'FIFA 21', 'Hearthstone', 'Teamfight Tactics']",French
miya728,"['LOST ARK', 'Just Chatting', 'Miitopia', 'Teamfight Tactics', 'Minecraft']",Korean
mizkif,"['Just Chatting', 'Super Mario 64', 'League of Legends', 'Rust', 'Jump King']",English
mlchoins,"['MapleStory', 'LOST ARK', 'League of Legends', 'Sudden Attack', 'Minecraft']",Korean
mmafu_,"['Apex Legends', 'VALORANT', 'Just Chatting', 'Art', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Japanese
mmange2,"['Just Chatting', 'VALORANT', 'League of Legends', 'Games + Demos', 'Apex Legends']",Korean
moistcr1tikal,"['Just Chatting', 'Super Smash Bros. Ultimate', 'Rust', 'Grand Theft Auto V', 'Pokémon Unite']",English
mokouliszt1,"['Apex Legends', 'Shadowverse', 'Watch Parties', 'Pokémon Unite', 'Mahjong Soul']",Japanese
mondo23,[],Korean
mother3rd,"['VALORANT', 'League of Legends', 'Minecraft', 'Just Chatting', 'Overwatch']",Japanese
mount,"['Grand Theft Auto V', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Bloons TD 6', 'Minecraft']",Portuguese
mrstiventc,"['Garena Free Fire', 'Call of Duty: Warzone', 'Operation 7', 'Minecraft', 'Grand Theft Auto V']",Spanish
msmsms213,"['Just Chatting', 'Minecraft', 'Cookie Run: Kingdom', '7 Days to Die', 'Pokémon Black/White Version 2']",Korean
myth,"['VALORANT', 'Rust', 'Apex Legends', 'Call of Duty: Warzone', 'Halo Infinite']",English
nafengg,"['Apex Legends', 'VALORANT', 'It Takes Two', 'Vampire: The Masquerade - Bloodhunt', 'Pummel Party']",English
nagisatty,"['League of Legends', 'Among Us', 'Apex Legends', 'Resident Evil 5', 'Little Nightmares II']",Japanese
nanajam777,"['Just Chatting', 'League of Legends', 'StarCraft', 'Grand Theft Auto V', 'Eternal Return: Black Survival']",Korean
nanayango3o,"['Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'League of Legends', 'Minecraft', 'Escape From Tarkov']",Korean
nangodof,['Just Chatting'],Korean
naruserin309,"['Eternal Return: Black Survival', 'Eternal Return', 'Just Chatting', 'League of Legends', 'Pokémon Unite']",Japanese
natalan,"['Just Chatting', 'Minecraft', 'ROBLOX', 'Grand Theft Auto V', 'Games + Demos']",Spanish
nats,['VALORANT'],English
necklet880707,"['League of Legends', 'LOST ARK', 'StarCraft', 'Teamfight Tactics', 'Just Chatting']",Korean
neymarjr,"['Fortnite', 'Call of Duty: Warzone', 'Poker', 'Counter-Strike: Global Offensive']",Portuguese
nicewigg,"['Apex Legends', 'VALORANT', 'It Takes Two', 'Just Chatting', 'Minecraft']",English
nickmercs,"['Call of Duty: Warzone', 'Apex Legends', 'Fortnite', 'Fitness & Health', 'Sports']",English
nimbleneuron,"['Eternal Return: Black Survival', 'Eternal Return', 'Visage']",English
ninja,"['League of Legends', 'VALORANT', 'Final Fantasy XI', 'Fortnite', 'Apex Legends']",English
nisqyy,"['League of Legends', 'Teamfight Tactics', 'Crab Game']",French
nl_Kripp,"['Hearthstone', 'Path of Exile', 'Diablo II: Resurrected', 'Legion TD 2', 'Poker']",English
nlmiso95,"['Just Chatting', 'League of Legends', 'StarCraft', 'Danganronpa V3: Killing Harmony', 'Danganronpa 2: Goodbye Despair']",Korean
nnabi,"['Just Chatting', 'StarCraft', 'StarCraft II', 'Bloodborne', 'League of Legends']",Korean
nniru,"['Apex Legends', 'VALORANT', 'Minecraft', 'Phasmophobia', 'Just Chatting']",Japanese
noahreyli,"['Fortnite', 'League of Legends', 'KovaaK 2.0', ""KovaaK's FPS Aim Trainer"", 'Just Chatting']",German
nodolly,"['LOST ARK', 'MapleStory', 'Just Chatting', 'Diablo II: Resurrected', 'Teamfight Tactics']",Korean
noelmiller,"['Just Chatting', 'The Walking Dead: Season Two', 'The Walking Dead: A New Frontier', 'HITMAN 3', 'Little Nightmares']",English
noizemasta,"['Hearthstone', 'Just Chatting', 'For The King', 'Diablo II: Resurrected', 'The Dark Pictures Anthology: Little Hope']",Korean
nokduro,"['Spelunky 2', 'Super Mario Maker 2', 'Monster Hunter Rise', 'Project Zomboid', 'Diablo II: Resurrected']",Korean
nokokopuffs,"['Apex Legends', 'VALORANT', 'Just Chatting', 'Rust', 'League of Legends']",English
nrg_daequan,[],English
nrg_hamlinz,"['Just Chatting', 'Apex Legends', 'Fortnite', 'Grand Theft Auto V', 'Dead by Daylight']",English
nubulswamp,"['Just Chatting', 'VALORANT', 'Minecraft', 'League of Legends', 'Music']",Korean
nuclear220,"['League of Legends', 'LOST ARK', 'StarCraft', 'Sudden Attack', 'Tekken 7']",Korean
nyanners,"['Just Chatting', 'Final Fantasy X HD Remaster', 'Minecraft', 'Bloodborne', 'VRChat']",English
obly99,"['Apex Legends', 'VALORANT', 'Battlefield V', 'PUBG: BATTLEGROUNDS', 'Just Chatting']",Korean
obm1025,"['Just Chatting', 'Food & Drink', 'League of Legends', 'LOST ARK', 'Travel & Outdoors']",Korean
ok_ja,"['Just Chatting', 'League of Legends', 'LOST ARK', 'StarCraft', 'StarCraft II']",Korean
omgvodka,"['Apex Legends', ""PLAYERUNKNOWN'S BATTLEBOXES"", 'Call of Duty: Vanguard', 'God Field', 'Monster Hunter Rise']",Japanese
oni_is_soto_,"['Eternal Return: Black Survival', 'Eternal Return', 'League of Legends', 'Just Chatting', 'Mahjong Soul']",Japanese
oniyadayo,"['Apex Legends', 'Call of Duty: Black Ops Cold War', 'Super Smash Bros. Ultimate', 'Just Chatting', 'PUBG: BATTLEGROUNDS']",Japanese
ooenotakayuki,"['Apex Legends', 'Minecraft', 'Pokémon Unite', 'Talk Shows & Podcasts', 'Splatoon 2']",Japanese
ops1x,"['Fortnite', 'Just Chatting', 'Slots', 'The Movies', 'Casino']",English
osamintinus3sei,"['Apex Legends', 'Getting Over It', 'Just Chatting', 'Among Us', 'Back 4 Blood']",Japanese
otplol_,"['League of Legends', 'Tabletop RPGs', 'Just Chatting']",French
otzdarva,"['Dead by Daylight', 'Darkest Dungeon II', 'Resident Evil Village', 'Dark Souls II', 'Chess']",English
ow_pepper,"['VALORANT', 'Escape from Tarkov', 'osu!', 'Apex Legends', 'Resident Evil Village']",Japanese
pacific8815,"['Just Chatting', 'League of Legends', 'StarCraft', 'Tekken 7', 'LOST ARK']",Korean
paka9999,"['League of Legends', 'StarCraft', 'LOST ARK', 'Just Chatting', 'Teamfight Tactics']",Korean
parkjand,"['Just Chatting', 'League of Legends', 'Apex Legends', 'Diablo II: Resurrected', 'Eternal Return: Black Survival']",Korean
paulanobre,"['VALORANT', 'Just Chatting', 'Watch Parties', 'Counter-Strike: Global Offensive', 'It Takes Two']",Portuguese
penyo_,"['Just Chatting', 'VALORANT', 'Escape From Tarkov', 'Final Fantasy XIV Online', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Japanese
peterparkTV,"['Just Chatting', 'Among Us', 'VALORANT', 'Rust', 'Minecraft']",English
pgod,"['Fortnite', 'Just Chatting', 'Dota 2', 'KovaaK 2.0', 'Overcooked! 2']",Spanish
pianocatvr,"['VRChat', 'LOST ARK', 'It Takes Two', 'League of Legends', 'Escape From Tarkov']",Korean
pijack11,"['League of Legends', 'Genshin Impact', 'Just Chatting', 'Tribes of Midgard', 'Raid: Shadow Legends']",Portuguese
pikra10,"['League of Legends', 'Just Chatting', 'Teamfight Tactics', 'Warcraft III', 'StarCraft']",Korean
pimpimenta,"['League of Legends', 'New World', 'VALORANT', 'Eternal Return', 'Age of Empires IV']",Portuguese
pjs9073,"['LOST ARK', 'Just Chatting', 'League of Legends', 'Minecraft', 'Skul: The Hero Slayer']",Korean
playapex,['Apex Legends'],English
pokimane,"['VALORANT', 'Just Chatting', 'Rust', 'Among Us', 'Minecraft']",English
ponce,"['Just Chatting', 'Mario Kart 8', 'FIFA 21', 'Rocket League', 'Super Mario Odyssey']",French
popo,"['Just Chatting', 'League of Legends', 'Grand Theft Auto V', 'Travel & Outdoors', 'The Walking Dead: Season One']",Polish
portialyn,"['Hearthstone', 'LOST ARK', 'League of Legends', 'Teamfight Tactics', 'Talk Shows & Podcasts']",Korean
projektmelody,"['Just Chatting', 'Art', 'Keep Talking and Nobody Explodes', 'VRChat', 'Jackbox Party Packs']",English
pyosixs,"['League of Legends', 'Just Chatting']",Korean
pzzzang3,['League of Legends'],Korean
qcnb123,"['League of Legends', 'Among Us']",Korean
qq102qq,"['League of Legends', 'Just Chatting', 'StarCraft', 'Sudden Attack', 'Fall Guys: Ultimate Knockout']",Korean
quanhaha79,['League of Legends'],Korean
qufl0,['League of Legends'],Korean
raderaderader,"['Apex Legends', 'Minecraft', 'Just Chatting', 'Among Us', 'Overwatch']",Japanese
radersub,[],Japanese
radiyu,"['Just Chatting', 'Music', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'The Binding of Isaac: Repentance', 'ALTF4']",Korean
rainblue37,"[""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'Just Chatting', ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'LOST ARK', 'It Takes Two']",Korean
ranboobutnot,"['Minecraft', 'Just Chatting', 'Splitgate', 'Slime Rancher', 'PowerWash Simulator']",English
ranboolive,"['Minecraft', 'Just Chatting', 'Life is Strange', 'Night in the Woods', 'Portal 2']",English
ras_sama,[],Korean
rather777,"['Just Chatting', 'Minecraft', 'League of Legends', 'Fall Guys: Ultimate Knockout', 'HITMAN']",Korean
ratirl,"['League of Legends', 'Call of Duty: Warzone', 'Just Chatting', 'Resident Evil Village', 'Dying Light']",English
rebeudeter,"['League of Legends', 'Grand Theft Auto V', 'Just Chatting', 'Special Events', 'The Last of Us Part II']",French
reitathefps,"['VALORANT', 'Just Chatting', 'Umamusume: Pretty Derby', 'Apex Legends', 'PUBG: BATTLEGROUNDS']",Japanese
rekkles,['League of Legends'],English
restiafps,"['Apex Legends', 'Hearthstone', 'Sekiro: Shadows Die Twice', 'Minecraft', 'Overwatch']",Chinese
rhffkddl96,"['League of Legends', 'Dungeon Fighter Online', 'LOST ARK', 'Teamfight Tactics', 'Just Chatting']",Korean
ricadam_lol,['League of Legends'],French
ringkyu1123,"['League of Legends', 'Just Chatting', 'Little Nightmares II', 'Outlast', 'LOST ARK']",Korean
riotgames,"['League of Legends', 'League of Legends: Wild Rift', 'Teamfight Tactics', 'Talk Shows & Podcasts', 'Arcane']",English
riotgames_korea,"['League of Legends: Wild Rift', 'Teamfight Tactics', 'VALORANT', 'League of Legends', 'Arcane']",Korean
riotgamesjp,"['League of Legends', 'League of Legends: Wild Rift', 'Teamfight Tactics', 'Legends of Runeterra', 'Arcane']",Japanese
riotgameslatam,['Arcane'],Spanish
riotgamesru,"['League of Legends', 'League of Legends: Wild Rift', 'Teamfight Tactics', 'Arcane']",Russian
rjsqn1109,['League of Legends'],Korean
rkdthdus930,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Minecraft', 'Eternal Return: Black Survival']",Korean
rkdwl12,"['Just Chatting', 'League of Legends', 'Apex Legends', 'Music', 'Minecraft']",Korean
rlawnsvy7,"['Just Chatting', 'Skul: The Hero Slayer', 'Miracle Snack Shop', 'Doki Doki Literature Club!', 'Causality']",Korean
rlgus1006,"['League of Legends', 'Just Chatting', 'Minecraft', 'Games + Demos', 'Teamfight Tactics']",Korean
rngudwnswkd,"['League of Legends', 'VALORANT', 'Just Chatting', 'Call of Duty: Warzone', 'Resident Evil Village']",Korean
rocketbaguette,"['Rocket League', 'Special Events']",French
rockggun,"['Minecraft', 'Just Chatting', 'Eternal Return', 'Fall Guys: Ultimate Knockout', 'Eternal Return: Black Survival']",Korean
rogue,"['Apex Legends', 'Escape from Tarkov', 'PGA TOUR 2K21', 'Science & Technology', 'Pummel Party']",English
roki_ch,"['Apex Legends', 'Monster Hunter: World', 'League of Legends', 'Sekiro: Shadows Die Twice', 'Teamfight Tactics']",Japanese
ronaronakr,"['Just Chatting', 'Talk Shows & Podcasts', 'Spore', 'Jurassic World Evolution', ""Sid Meier's Civilization VI""]",Korean
rooftopcat99,"['Just Chatting', 'Hearthstone', 'Mario Kart 8 Deluxe', 'eFootball PES 2021 Season Update', 'Super Mario Party']",Korean
rprx,"['Apex Legends', 'Just Chatting', 'Battlefield 2042', 'Minecraft', 'Sea of Thieves']",English
rtainjapan,"['Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan!', 'Dragon Quest VIII: Journey of the Cursed King', 'Dragon Quest Characters: Torneko no Daibouken 3', 'Mystery Dungeon: Shiren the Wanderer 3', 'Resident Evil 4']",Japanese
rua_jp,"['VALORANT', 'Mahjong Soul', 'Minecraft', 'Apex Legends', 'PICO PARK']",Japanese
rulrudino,"['Just Chatting', 'Minecraft', 'Animal Crossing: New Horizons', 'Games + Demos', 'Miitopia']",Korean
runner0608,"['Just Chatting', 'LOST ARK', 'Lost Ark Online', 'League of Legends', 'Teamfight Tactics']",Korean
rybsonlol_,"['League of Legends', 'Grand Theft Auto V', 'Chess', 'Knockout City', 'South Park: The Fractured But Whole']",Polish
s1032204,"['Just Chatting', 'LOST ARK', 'League of Legends', 'Genshin Impact', 'Games + Demos']",Korean
s1mple,"['Counter-Strike: Global Offensive', 'Call of Duty: Warzone', 'VALORANT', 'Dota 2', 'Pummel Party']",English
saddummy,"['Just Chatting', 'League of Legends', 'LOST ARK', 'Diablo II: Resurrected', 'World of Warcraft']",Korean
sah_yang,"['Apex Legends', 'Just Chatting', 'Minecraft', 'Call of Duty: Warzone', ""Tom Clancy's Rainbow Six Siege""]",Korean
saken_lol,['League of Legends'],French
sal_gu,"['Dead by Daylight', 'Project Zomboid', 'Darkest Dungeon', 'Eternal Return: Black Survival', 'LOST ARK']",Korean
samueletienne,"['Just Chatting', 'Special Events']",French
sapnapalt,"['VALORANT', 'Minecraft', 'Counter-Strike: Global Offensive', ""Tom Clancy's Rainbow Six Siege"", 'Resident Evil Village']",English
sasatikk,"['Escape From Tarkov', 'VALORANT', 'Apex Legends', 'FIFA 22', ""Conqueror's Blade""]",Japanese
scarlet6942,"['League of Legends', 'Genshin Impact', 'Just Chatting', 'Battlefield V', 'Battlefield 1']",Korean
scoped,"['Fortnite', 'Just Chatting', 'Apex Legends', 'Rocket League']",English
score1992,"['League of Legends', 'Hearthstone', 'Just Chatting', 'Teamfight Tactics']",Korean
selly55,"['Apex Legends', 'Escape From Tarkov', 'Valheim', 'Star Wars Battlefront II', 'Enlisted']",Korean
seoldam99,"['VALORANT', 'Apex Legends', 'Just Chatting']",Korean
ses836,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Yu-Gi-Oh! Duel Links', 'Eternal Return: Black Survival']",Korean
shahzam,"['VALORANT', 'Jump King', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Crab Game']",English
shibuyahal,"['Apex Legends', 'VALORANT', ""Conqueror's Blade"", 'Stardew Valley', 'Rune Factory 5']",Japanese
shivfps,"['Apex Legends', 'Rust', 'Call of Duty: Warzone', 'Battlefield 2042', 'Enlisted']",English
shomaru7,"['Apex Legends', 'Battlefield 2042', 'PUBG: BATTLEGROUNDS', 'Call of Duty: Black Ops Cold War', 'Battlefield V']",Japanese
shroud,"['VALORANT', 'New World', 'World of Warcraft', 'Rust', 'DayZ']",English
silphtv,"['League of Legends', 'Just Chatting', ""Tom Clancy's Rainbow Six Siege"", 'VALORANT', 'Apex Legends']",Korean
silversigle,"['LOST ARK', 'It Takes Two', 'Agrou', 'Monster Hunter: World', 'Deceit']",Korean
sinatraa,"['VALORANT', 'Apex Legends', 'New World', 'Grand Theft Auto V', 'Just Chatting']",English
skeppy,[],English
skmgsysy,"['Eternal Return', 'Eternal Return: Black Survival', 'League of Legends', ""I'm Only Sleeping"", 'Pokémon Unite']",Japanese
sktt1fan_,"['League of Legends', 'Just Chatting']",Korean
slamzinseok,"['Just Chatting', 'Slam Dunk']",Japanese
sleepground,"['Minecraft', 'The Binding of Isaac: Rebirth', 'Just Chatting', 'Teamfight Tactics', 'Eternal Return']",Korean
slemf4062,"['League of Legends', 'Just Chatting', 'Little Nightmares', 'Among Us', 'Kageroh: Shadow Corridor']",Korean
smthlikeyou11,"['VALORANT', 'Just Chatting']",Russian
sn400ja,"['Teamfight Tactics', 'Ni no Kuni: Cross Worlds', 'League of Legends', 'Uma Musume Pretty Derby', 'Just Chatting']",Korean
sneakylol,"['League of Legends', 'World of Warcraft', 'Path of Exile', 'New World', 'Dragon Ball FighterZ']",English
snip3down,"['Apex Legends', 'Halo Infinite', 'Halo: The Master Chief Collection', 'Just Chatting', 'Titanfall 2']",English
snow_hite,"['Just Chatting', 'LOST ARK', 'MapleStory', 'League of Legends', 'Minecraft']",Korean
so_urf,"['League of Legends', 'Escape From Tarkov', 'LOST ARK', 'Diablo II: Resurrected', 'StarCraft']",Korean
sodapoppin,"['World of Warcraft', 'Just Chatting', 'Grand Theft Auto V', 'Terraria', 'Rust']",English
solary,"['League of Legends', 'Teamfight Tactics', 'Talk Shows & Podcasts', 'Super Smash Bros. Ultimate', 'Dofus']",French
som0322,"['Just Chatting', 'VALORANT', 'LOST ARK', ""Tom Clancy's Rainbow Six Siege"", ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
sonycast_,"['Just Chatting', 'Dungeon Fighter Online', 'Games + Demos', 'LOST ARK', 'Art']",Korean
sooflower,"['Just Chatting', 'StarCraft', 'Eternal Return', 'Diablo II: Resurrected', 'Games + Demos']",Korean
sorammmm,"['League of Legends', 'Just Chatting', 'Teamfight Tactics', 'Tekken 7', 'LOST ARK']",Korean
sorimcaster,"['LOST ARK', 'Just Chatting', 'StarCraft', 'Diablo II: Resurrected', 'KartRider Rush+']",Korean
spygea,"['Apex Legends', 'VALORANT', 'Escape From Tarkov', 'Watch Parties', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Japanese
stansmith_jp,"['VALORANT', 'Apex Legends', 'Uma Musume Pretty Derby', 'Pokémon Unite', 'Just Chatting']",Japanese
steel_tv,"['VALORANT', 'Dota 2', 'Fallout 2', 'Apex Legends', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",English
steelohs,"['Just Chatting', 'Teamfight Tactics', 'LOST ARK', 'FIFA 22', 'Hearthstone']",Korean
stormen,"['Apex Legends', 'Diablo II: Resurrected', 'Vampire: The Masquerade - Bloodhunt', 'World of Warships', 'Vikings: War of Clans']",English
stylishnoob4,"['Apex Legends', 'VALORANT', 'Escape From Tarkov', 'Aion', 'Just Chatting']",Japanese
su_ning,"['Just Chatting', 'Minecraft', 'Project Zomboid', 'League of Legends', 'Subnautica']",Korean
sugarz3ro,"['VALORANT', 'Battlefield 2042']",Japanese
suhyen0107,"['Just Chatting', 'Minecraft', 'Animal Crossing: New Horizons', 'Animal Crossing: New Leaf', 'VALORANT']",Korean
sujagg,"['Fortnite', 'VALORANT', 'Just Chatting', 'Grand Theft Auto V', 'Knockout City']",Spanish
summit1g,"['Grand Theft Auto V', 'Escape From Tarkov', 'Foxhole', 'Final Fantasy XIV Online', 'DayZ']",English
sunbaking,"['Just Chatting', 'League of Legends', 'Project Zomboid', 'Games + Demos', 'Darkest Dungeon']",Korean
surugamonkey0113,"['VALORANT', 'Derby Stallion', 'Uma Musume Pretty Derby', 'Apex Legends', 'Escape From Tarkov']",Japanese
sutanmi,"['League of Legends', 'VALORANT', 'Apex Legends', 'Just Chatting', 'Back 4 Blood']",Japanese
suxkingiscoming,"['Escape From Tarkov', 'Apex Legends', 'League of Legends', 'LOST ARK', 'Rust']",Korean
swab85,"['Food & Drink', 'Just Chatting', 'League of Legends', 'Diablo II: Resurrected', 'World of Warcraft']",Korean
sweetdreams,"['Apex Legends', 'Escape from Tarkov', 'Just Chatting', 'Escape from Tarkov', 'Aim Lab']",English
swon5274,"['Just Chatting', 'Overwatch', 'League of Legends', 'Minecraft', 'Hearthstone']",Korean
syaruru3,"['League of Legends', 'Eternal Return: Black Survival', 'Eternal Return', 'VALORANT', 'Aion']",Japanese
sykkuno,"['Grand Theft Auto V', 'VALORANT', 'Just Chatting', 'Among Us', 'Rust']",English
sz_taisheen,"['Apex Legends', 'Battlefield 2042', 'Chess', 'Just Chatting', 'VALORANT']",English
t1_cuzz,"['League of Legends', 'Teamfight Tactics', 'PUBG: BATTLEGROUNDS', 'MapleStory', 'The Binding of Isaac']",Korean
t1_ellim,"['League of Legends', 'PUBG: BATTLEGROUNDS', 'Poppy Playtime', 'FIFA Online 4', 'StarCraft']",Korean
t1_keria,"['League of Legends', 'Eternal Return', 'MapleStory', 'Overwatch', 'PUBG: BATTLEGROUNDS']",Korean
t1_oner,"['League of Legends', 'Teamfight Tactics', 'PUBG: BATTLEGROUNDS', 'Sudden Attack', 'Little Nightmares II']",Korean
t1_roach,['League of Legends'],Korean
