User,Games,language
Gotaga,"['Call of Duty: Warzone', 'Apex Legends', 'FIFA 22', 'Pokémon Emerald', 'Just Chatting']",French
Greekgodx,"['Just Chatting', 'Grand Theft Auto V', 'Rust', 'Slots', 'osu!']",English
Guaxinim,"['Just Chatting', 'Grand Theft Auto V', 'VALORANT', 'Rocket League', 'Counter-Strike: Global Offensive']",Portuguese
HBomb94,"['Minecraft', 'Among Us', 'Just Chatting', 'Pokémon HeartGold/SoulSilver', 'Hearthstone']",English
HasanAbi,"['Just Chatting', 'Grand Theft Auto V', 'Rust', 'The Legend of Zelda: Breath of the Wild', 'Subnautica']",English
Hiko,"['VALORANT', 'Valorant', 'Overwatch', 'Back 4 Blood', 'Sekiro: Shadows Die Twice']",English
IamCristinini,"['Grand Theft Auto V', 'Just Chatting', 'Minecraft', 'ARK: Survival Evolved', 'Rust']",Spanish
Inoxtag,"['Just Chatting', 'Special Events', 'Minecraft', 'FIFA 21', 'Z1: Battle Royale']",French
JASONR,"['VALORANT', 'Escape From Tarkov', 'League of Legends', 'Slots', 'Counter-Strike: Global Offensive']",English
JLAmaru,"['Just Chatting', 'League of Legends', 'Grand Theft Auto V', 'Rocket League', 'VALORANT']",French
JLBichouu,"['Grand Theft Auto V', 'Just Chatting', ""Garry's Mod"", 'Red Dead Redemption 2', 'Call of Duty: Warzone']",French
JLTomy,"['Grand Theft Auto V', 'League of Legends', 'Just Chatting', 'Red Dead Redemption 2', 'Call of Duty: Warzone']",French
JackManifoldTV,"['Minecraft', 'Just Chatting', 'GeoGuessr', 'Phasmophobia', 'Jackbox Party Packs']",English
JaggerPrincesa,"['Just Chatting', 'Minecraft', 'Rust', 'Grand Theft Auto V', 'DOOM Eternal']",Spanish
JeanPormanove,"['Fortnite', 'Grand Theft Auto V', 'Call of Duty: Warzone', 'Apex Legends', 'Slots']",French
JeelTV,"['Just Chatting', 'Food & Drink', 'Among Us', 'Mario Kart 8', 'Grand Theft Auto V']",French
Jelty,"['Fortnite', 'Just Chatting', 'Minecraft', ""I'm Only Sleeping"", 'ROBLOX']",Spanish
Jerma985,"['Just Chatting', 'Slime Rancher', 'No More Heroes III', 'Pikmin 2', 'Resident Evil Village']",English
Jinnytty,"['Just Chatting', 'Pools, Hot Tubs, and Beaches', ""Demon's Souls"", 'Resident Evil Village', 'Grand Theft Auto IV']",English
Jirayalecochon,"['Just Chatting', 'FIFA 21', 'Mario Kart 8 Deluxe', 'Pokémon Platinum', 'God of War']",French
Joueur_du_Grenier,"['Just Chatting', 'Worms W.M.D', 'Grand Theft Auto V', 'New World', 'Special Events']",French
JustaMinx,"['Just Chatting', 'Grand Theft Auto V', 'ROBLOX', 'VALORANT', 'Minecraft']",English
Kaceytron,"['Just Chatting', ""I'm Only Sleeping"", 'Rust', 'League of Legends', 'Overwatch']",English
Kamet0,"['League of Legends', 'Just Chatting', 'Minecraft', 'VALORANT', 'Dofus']",French
Kaydop,"['Rocket League', 'Call of Duty: Warzone', 'ALTF4', 'Valheim', 'Slapshot Rebound']",French
Kyedae,"['VALORANT', 'Just Chatting', 'Back 4 Blood', 'Genshin Impact', 'It Takes Two']",English
LCS,['League of Legends'],English
LITkillah,"['Grand Theft Auto V', 'Just Chatting', 'Fortnite', 'Music', 'Monopoly Plus']",Spanish
