Tue Nov 16 20:12:31 2021    output.dat

         34696835 function calls (34665815 primitive calls) in 2745.143 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41904    0.279    0.000    0.473    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:303(<listcomp>)
    41904    0.327    0.000    0.989    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:302(_idna_encode)
    41904    0.876    0.000    2.891    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
    39922    0.055    0.000    0.055    0.000 /usr/lib/python3.8/ssl.py:1078(_checkClosed)
    38526    0.071    0.000    0.071    0.000 {method 'upper' of 'str' objects}
    37980    0.055    0.000    0.055    0.000 {method 'keys' of 'dict' objects}
    37345    0.117    0.000    0.472    0.000 {built-in method builtins.next}
    37248    0.483    0.000    1.170    0.000 /usr/lib/python3.8/email/message.py:462(get)
    37248    0.100    0.000    0.142    0.000 /usr/lib/python3.8/http/client.py:977(_output)
    37248    0.161    0.000    0.568    0.000 /usr/lib/python3.8/_collections_abc.py:664(__contains__)
    35365    0.102    0.000    0.150    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
    32592    0.057    0.000    0.057    0.000 {method 'decode' of 'bytearray' objects}
    32592    0.081    0.000    0.081    0.000 {method 'count' of 'bytes' objects}
    32592    0.089    0.000    0.089    0.000 {method 'fullmatch' of 're.Pattern' objects}
    32592    0.111    0.000    0.111    0.000 {method 'subn' of 're.Pattern' objects}
    32592    0.281    0.000    2.241    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:50(merge_setting)
    32592    0.319    0.000    1.010    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:314(to_key_val_list)
    32592    0.188    0.000    1.464    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:221(putheader)
    32592    5.756    0.000   10.431    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
    32592    0.487    0.000    0.974    0.000 /usr/lib/python3.8/http/client.py:1208(putheader)
    32592    0.151    0.000    0.232    0.000 /usr/lib/python3.8/http/client.py:1256(<genexpr>)
    32592    0.089    0.000    0.130    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/_internal_utils.py:14(to_native_string)
    32592    0.220    0.000    2.908    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:42(__init__)
    28341    0.074    0.000    0.099    0.000 {built-in method builtins.sorted}
    28027    0.081    0.000    0.081    0.000 {built-in method time.time}
    27936    0.051    0.000    0.051    0.000 {method 'groups' of 're.Match' objects}
    27936    0.140    0.000    0.248    0.000 /usr/lib/python3.8/http/cookiejar.py:1219(vals_sorted_by_key)
    27936    0.088    0.000    0.336    0.000 /usr/lib/python3.8/http/cookiejar.py:1223(deepvalues)
    27936    0.048    0.000    0.048    0.000 /usr/lib/python3.8/http/cookiejar.py:1750(__iter__)
    27936    0.104    0.000    0.142    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:59(__iter__)
    27936    0.045    0.000    0.045    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:708(set_environ)
    27936    0.130    0.000    0.255    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:963(check_header_validity)
    27936    0.061    0.000    0.061    0.000 /usr/lib/python3.8/threading.py:81(RLock)
    23531    0.043    0.000    0.043    0.000 {method 'copy' of 'dict' objects}
    23280    3.058    0.000   32.996    0.001 /usr/lib/python3.8/urllib/request.py:2494(getproxies_environment)
    23280    0.101    0.000    0.145    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/packages/six.py:992(ensure_str)
    23280    0.195    0.000    0.498    0.000 /usr/lib/python3.8/enum.py:932(__or__)
    18783    0.034    0.000    0.034    0.000 {method 'endswith' of 'str' objects}
    18711    0.054    0.000    0.054    0.000 {method 'acquire' of '_thread.RLock' objects}
    18711    0.030    0.000    0.030    0.000 {method 'release' of '_thread.RLock' objects}
    18662    2.083    0.000    2.083    0.000 {built-in method posix.stat}
    18625    0.119    0.000    0.158    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
    18625    0.069    0.000    0.149    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
    18625    0.106    0.000    0.496    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
    18625    0.074    0.000    0.233    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
    18624    0.025    0.000    0.025    0.000 {method 'items' of 'collections.OrderedDict' objects}
    18624    0.023    0.000    0.023    0.000 {method 'setdefault' of 'dict' objects}
    18624    0.083    0.000    0.083    0.000 {method 'settimeout' of '_socket.socket' objects}
    18624    0.027    0.000    0.027    0.000 {method 'seek' of '_io.StringIO' objects}
    18624    0.060    0.000    0.060    0.000 /usr/lib/python3.8/http/cookiejar.py:877(__init__)
    18624    0.123    0.000    0.227    0.000 /usr/lib/python3.8/http/cookiejar.py:1258(__init__)
    18624    0.025    0.000    0.025    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:111(info)
    18624    0.151    0.000    0.236    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:102(__init__)
    18624    0.269    0.000    1.621    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:274(_normalize_host)
    18624    0.502    0.000    0.907    0.000 /usr/lib/python3.8/email/message.py:497(get_all)
    18624    0.162    0.000    0.914    0.000 /usr/lib/python3.8/email/message.py:564(get_content_type)
    18624    0.116    0.000    0.196    0.000 /usr/lib/python3.8/email/message.py:29(_splitparam)
    18624    0.089    0.000    0.241    0.000 /usr/lib/python3.8/socket.py:97(_intenum_converter)
    17633    0.035    0.000    0.035    0.000 /usr/lib/python3.8/socket.py:694(readable)
    16882    0.025    0.000    0.025    0.000 /usr/lib/python3.8/http/client.py:434(isclosed)
    16796    0.072    0.000   74.093    0.004 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:823(content)
    15741    0.028    0.000    0.028    0.000 {method 'split' of 'bytes' objects}
    15574    0.030    0.000    0.030    0.000 {method 'remove' of 'list' objects}
    14319    0.022    0.000    0.023    0.000 {built-in method builtins.issubclass}
    13970    0.079    0.000    0.079    0.000 /usr/lib/python3.8/threading.py:222(__init__)
    13968    0.016    0.000    0.016    0.000 {method 'gettimeout' of '_socket.socket' objects}
    13968    0.071    0.000    0.390    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:74(<listcomp>)
    13968    0.163    0.000    0.275    0.000 /usr/lib/python3.8/encodings/idna.py:147(encode)
    13968    0.026    0.000    0.026    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/hooks.py:18(<dictcomp>)
    13968    0.061    0.000    0.088    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/hooks.py:17(default_hooks)
    13968    0.049    0.000    0.228    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:521(<listcomp>)
    13968    0.147    0.000    0.591    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:508(cookiejar_from_dict)
    13968    0.041    0.000    0.059    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:62(__len__)
    13968    0.021    0.000    0.021    0.000 /usr/lib/python3.8/http/cookiejar.py:44(_debug)
    13968    0.080    0.000   19.832    0.001 /usr/lib/python3.8/urllib/request.py:2525(proxy_bypass_environment)
    13968    0.115    0.000    0.542    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:738(<lambda>)
    13968    0.332    0.000   22.310    0.002 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:730(should_bypass_proxies)
    13968    0.025    0.000    0.025    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/request.py:40(__init__)
    13968    0.136    0.000    0.251    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:91(__new__)
    13968    0.198    0.000    0.360    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:244(_remove_path_dot_segments)
    13968    0.097    0.000    1.085    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:297(<listcomp>)
    13968    0.626    0.000   10.373    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:330(parse_url)
    13968    0.021    0.000    0.021    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:220(connect_timeout)
    13968    0.063    0.000    0.727    0.000 /usr/lib/python3.8/email/message.py:588(get_content_maintype)
    13968    0.078    0.000    0.105    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:132(host)
    13968    0.093    0.000    0.974    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:37(__init__)
    13968    0.072    0.000    1.744    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
    12977    0.025    0.000    0.025    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    12977    0.043    0.000    0.062    0.000 {method '_checkReadable' of '_io._IOBase' objects}
    12977    0.113    0.000  940.425    0.072 /usr/lib/python3.8/socket.py:655(readinto)
    12977    0.079    0.000  940.081    0.072 /usr/lib/python3.8/ssl.py:1090(read)
    12977    0.107    0.000  940.225    0.072 /usr/lib/python3.8/ssl.py:1230(recv_into)
    12977  939.988    0.072  939.988    0.072 {method 'read' of '_ssl._SSLSocket' objects}
    12140    0.016    0.000    0.016    0.000 {method 'end' of 're.Match' objects}
    10432    0.041    0.000    0.043    0.000 {method 'format' of 'str' objects}
    10181    0.035    0.000    0.060    0.000 {function SocketIO.close at 0x7fd32a047550}
    10094    0.019    0.000    0.019    0.000 {built-in method builtins.min}
    10076    0.018    0.000    0.018    0.000 /usr/lib/python3.8/urllib/parse.py:456(<genexpr>)
     9879    0.013    0.000    0.013    0.000 {method 'values' of 'dict' objects}
     9734    0.030    0.000    0.037    0.000 {method 'extend' of 'list' objects}
     9360    0.015    0.000    0.015    0.000 {built-in method builtins.iter}
     9346    0.019    0.000    0.019    0.000 {built-in method posix.fspath}
     9343    0.047    0.000   73.954    0.008 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:754(generate)
     9343    0.048    0.000   73.900    0.008 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:555(stream)
     9315    0.143    0.000    0.402    0.000 /usr/lib/python3.8/posixpath.py:228(expanduser)
     9312    0.018    0.000    0.018    0.000 {method 'update' of 'collections.OrderedDict' objects}
     9312    0.019    0.000    0.019    0.000 {method 'clear' of 'collections.OrderedDict' objects}
     9312    0.029    0.000    0.029    0.000 {method 'read' of '_io.StringIO' objects}
     9312    0.012    0.000    0.012    0.000 {method 'truncate' of '_io.StringIO' objects}
     9312    0.065    0.000    0.065    0.000 {method 'readlines' of '_io._IOBase' objects}
     9312    0.026    0.000    0.026    0.000 {built-in method _codecs.utf_8_decode}
     9312    0.013    0.000    0.013    0.000 {method 'appendleft' of 'collections.deque' objects}
     9312    0.018    0.000    0.018    0.000 {method 'extend' of 'collections.deque' objects}
     9312    0.036    0.000    0.049    0.000 /usr/lib/python3.8/shlex.py:72(push_token)
     9312    0.051    0.000    0.081    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:755(<listcomp>)
     9312    0.043    0.000    0.124    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/sessions.py:749(mount)
     9312    0.023    0.000    0.023    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:58(__init__)
     9312    0.117    0.000    0.503    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:113(__init__)
     9312    0.063    0.000    0.236    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:146(init_poolmanager)
     9312    0.070    0.000    6.351    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/adapters.py:319(close)
     9312    0.130    0.000    1.073    0.000 /usr/lib/python3.8/http/cookiejar.py:1596(make_cookies)
     9312    0.105    0.000    1.260    0.000 /usr/lib/python3.8/http/cookiejar.py:1677(extract_cookies)
     9312    0.019    0.000    0.019    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:104(__init__)
     9312    0.094    0.000    1.816    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:118(extract_cookies_to_jar)
     9312    0.051    0.000    0.168    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:348(update)
     9312    0.072    0.000    0.283    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/cookies.py:529(merge_cookies)
     9312    0.072    0.000    0.776    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:82(copy)
     9312    0.026    0.000    0.039    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:182(<genexpr>)
     9312    0.083    0.000   28.227    0.003 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:791(get_environ_proxies)
     9312    0.129    0.000    1.155    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/utils.py:803(select_proxy)
     9312    0.079    0.000    0.173    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/poolmanager.py:170(__init__)
     9312    0.051    0.000    6.269    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/poolmanager.py:215(clear)
     9312    0.044    0.000    0.062    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:47(__init__)
     9312    0.119    0.000    6.218    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:92(clear)
     9312    0.027    0.000    0.033    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:251(<genexpr>)
     9312    0.034    0.000    0.309    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/response.py:425(_error_catcher)
     9312    0.042    0.000    0.067    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connection.py:237(<genexpr>)
     9312    0.028    0.000    0.042    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/retry.py:283(<listcomp>)
     9312    0.085    0.000    0.127    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/retry.py:225(__init__)
     9312    0.046    0.000    0.153    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/timeout.py:181(clone)
     9312    0.049    0.000    0.080    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/ssl_.py:211(resolve_cert_reqs)
