Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
clozer_t1,t1_roach,20.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1_teddy,52.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1esports,25.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,t1zeus_,37.0,Directed,League of Legends,League of Legends,Korean,Korean
clozer_t1,tfblade,27.0,Directed,League of Legends,League of Legends,Korean,English
clozer_t1,tmxk319,43.0,Directed,League of Legends,League of Legends,Korean,Korean
effort,canna,42.0,Directed,other,League of Legends,Korean,Korean
effort,clozer_t1,48.0,Directed,other,League of Legends,Korean,Korean
effort,faker,53.0,Directed,other,League of Legends,Korean,Korean
effort,gumayusi,52.0,Directed,other,League of Legends,Korean,Korean
effort,hanssama,25.0,Directed,other,League of Legends,Korean,English
effort,lol_woolf,72.0,Directed,other,League of Legends,Korean,Korean
effort,riotgames,31.0,Directed,other,League of Legends,Korean,English
effort,t1_cuzz,73.0,Directed,other,League of Legends,Korean,Korean
effort,t1_ellim,75.0,Directed,other,League of Legends,Korean,Korean
effort,t1_keria,30.0,Directed,other,League of Legends,Korean,Korean
effort,t1_oner,60.0,Directed,other,League of Legends,Korean,Korean
effort,t1_roach,43.0,Directed,other,League of Legends,Korean,Korean
effort,t1_teddy,51.0,Directed,other,League of Legends,Korean,Korean
effort,t1esports,34.0,Directed,other,League of Legends,Korean,Korean
effort,t1zeus_,37.0,Directed,other,League of Legends,Korean,Korean
t1_ellim,canna,43.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,clozer_t1,57.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,effort,36.0,Directed,League of Legends,other,Korean,Korean
t1_ellim,faker,53.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,gumayusi,53.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,lck_korea,34.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,lol_woolf,35.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,paka9999,26.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,riotgames,51.0,Directed,League of Legends,League of Legends,Korean,English
t1_ellim,t1_cuzz,42.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1_keria,57.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1_oner,58.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1_roach,24.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1_teddy,71.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1esports,38.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,t1zeus_,17.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_ellim,tmxk319,36.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,canna,45.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,clozer_t1,65.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,effort,44.0,Directed,League of Legends,other,Korean,Korean
t1_roach,faker,71.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,gumayusi,42.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,lck_korea,78.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,lol_woolf,57.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,riotgames,42.0,Directed,League of Legends,League of Legends,Korean,English
t1_roach,t1_cuzz,81.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1_ellim,51.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1_keria,65.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1_oner,96.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1_teddy,55.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1esports,26.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1moment,16.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,t1zeus_,29.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_roach,tmxk319,18.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,canna,32.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,faker,53.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,gumayusi,27.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,lck_korea,42.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,t1_cuzz,72.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,t1_ellim,33.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,t1_keria,62.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,t1_oner,16.0,Directed,League of Legends,League of Legends,Korean,Korean
t1_teddy,t1esports,32.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,bang,5.0,Directed,League of Legends,Teamfight Tactics,Korean,Korean
t1esports,canna,41.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,clozer_t1,16.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,faker,53.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,gumayusi,38.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,lck_korea,21.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,lol_woolf,42.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,riotgames,22.0,Directed,League of Legends,League of Legends,Korean,English
t1esports,t1_cuzz,34.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,t1_ellim,48.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,t1_keria,32.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,t1_oner,44.0,Directed,League of Legends,League of Legends,Korean,Korean
t1esports,t1_teddy,26.0,Directed,League of Legends,League of Legends,Korean,Korean
wildriftesports,riotgames,31.0,Directed,League of Legends: Wild Rift,League of Legends,English,English
qcnb123,baalzebb,18.0,Directed,League of Legends,League of Legends,Korean,Korean
qcnb123,faker,49.0,Directed,League of Legends,League of Legends,Korean,Korean
