Source,Target,Weight
wkgml,jingburger,17.0
wkgml,jinu6734,19.0
wkgml,kumikomii,18.0
wkgml,lck_korea,34.0
wkgml,magenta62,14.0
wkgml,rkdwl12,36.0
wkgml,s1032204,12.0
wkgml,som0322,28.0
wkgml,tmxk319,20.0
wkgml,woowakgood,28.0
wnsldj0610,aba4647,6.0
wnsldj0610,baalzebb,18.0
wnsldj0610,byeongbyeongbyeong,27.0
wnsldj0610,faker,57.0
wnsldj0610,gongparipa,18.0
wnsldj0610,hm716,40.0
wnsldj0610,jaewon4915,16.0
wnsldj0610,jinjalim,33.0
wnsldj0610,lck_korea,37.0
wnsldj0610,liok0485,52.0
wnsldj0610,pzzzang3,27.0
wnsldj0610,qcnb123,26.0
wnsldj0610,quanhaha79,18.0
wnsldj0610,rainblue37,20.0
wnsldj0610,rkdwl12,34.0
wnsldj0610,slemf4062,14.0
wnsldj0610,swon5274,43.0
wnsldj0610,t1_teddy,6.0
wnsldj0610,tmxk319,20.0
wnsldj0610,volibear_oyo,17.0
wnsldj0610,wyskah123,24.0
magenta62,chodan_,14.0
magenta62,meowko,35.0
magenta62,som0322,5.0
magenta62,woohankyung,39.0
chodan_,aba4647,24.0
chodan_,faker,31.0
chodan_,lck_korea,22.0
chodan_,magenta62,19.0
chodan_,obm1025,39.0
chodan_,tmxk319,20.0
meowko,amouranth,43.0
meowko,blinkx_,17.0
som0322,ao_o5,22.0
som0322,chodan_,13.0
som0322,ju10506,32.0
som0322,magenta62,28.0
som0322,nnabi,10.0
som0322,qq102qq,23.0
som0322,radiyu,34.0
woohankyung,berry0314,29.0
woohankyung,chodan_,26.0
woohankyung,kimgapju,23.0
woohankyung,magenta62,15.0
woohankyung,nnabi,17.0
woohankyung,sooflower,31.0
woohankyung,sorammmm,25.0
woohankyung,tmxk319,15.0
slemf4062,aba4647,25.0
slemf4062,baalzebb,40.0
slemf4062,box930205,19.0
slemf4062,byeongbyeongbyeong,12.0
slemf4062,faker,13.0
slemf4062,heyst1000,18.0
slemf4062,hm716,17.0
slemf4062,lck_korea,31.0
slemf4062,lol_ambition,19.0
slemf4062,pzzzang3,11.0
slemf4062,qcnb123,30.0
slemf4062,qq102qq,11.0
slemf4062,ringkyu1123,25.0
slemf4062,riotgames_korea,25.0
slemf4062,tmxk319,21.0
slemf4062,volibear_oyo,12.0
slemf4062,wnsldj0610,21.0
slemf4062,xordn123456,10.0
slemf4062,zz5152zz,13.0
box930205,agueppo,9.0
box930205,akvl1229,19.0
box930205,bgirl_0,28.0
box930205,jaewon4915,34.0
box930205,lck_korea,14.0
box930205,mister903,32.0
box930205,nangodof,25.0
box930205,obm1025,13.0
box930205,pjs9073,16.0
box930205,radiyu,17.0
box930205,rainblue37,52.0
box930205,rkdwl12,32.0
box930205,wkgml,16.0
heyst1000,a60426042,20.0
heyst1000,aba4647,19.0
heyst1000,faker,24.0
heyst1000,gumayusi,27.0
heyst1000,lck_korea,38.0
heyst1000,paka9999,40.0
heyst1000,qcnb123,49.0
heyst1000,t1_keria,38.0
heyst1000,tmxk319,14.0
lol_ambition,aba4647,42.0
lol_ambition,dopa24,49.0
lol_ambition,faker,33.0
lol_ambition,lck_korea,56.0
lol_ambition,paka9999,12.0
lol_ambition,tmxk319,46.0
lol_ambition,zilioner,34.0
pzzzang3,canna,17.0
pzzzang3,dopa24,22.0
pzzzang3,dzukill,36.0
pzzzang3,faker,35.0
pzzzang3,lck_korea,22.0
pzzzang3,riotgames,14.0
pzzzang3,t1_keria,10.0
pzzzang3,t1_teddy,11.0
pzzzang3,tmxk319,11.0
pzzzang3,zed99_lol,28.0
qq102qq,aba4647,22.0
qq102qq,faker,7.0
qq102qq,lck_korea,19.0
qq102qq,paka9999,27.0
qq102qq,qcnb123,26.0
qq102qq,tmxk319,26.0
riotgames_korea,faker,37.0
riotgames_korea,lck_korea,25.0
riotgames_korea,riotgames,33.0
riotgames_korea,riotgamesru,21.0
xordn123456,hm716,42.0
xordn123456,jaewon4915,30.0
xordn123456,jinjalim,39.0
xordn123456,qcnb123,23.0
xordn123456,rkdwl12,12.0
xordn123456,swon5274,12.0
xordn123456,volibear_oyo,18.0
zz5152zz,aba4647,71.0
zz5152zz,faker,15.0
zz5152zz,gumayusi,21.0
zz5152zz,heyst1000,15.0
zz5152zz,jaewon4915,25.0
zz5152zz,lck_korea,26.0
zz5152zz,obm1025,12.0
zz5152zz,paka9999,36.0
zz5152zz,pzzzang3,31.0
zz5152zz,qcnb123,51.0
zz5152zz,qq102qq,19.0
zz5152zz,slemf4062,47.0
zz5152zz,som0322,73.0
zz5152zz,t1_teddy,55.0
zz5152zz,tmxk319,60.0
handongsuk,aba4647,84.0
handongsuk,dda_ju,29.0
handongsuk,lck_korea,8.0
handongsuk,nodolly,5.0
handongsuk,paka9999,18.0
handongsuk,pjs9073,40.0
handongsuk,t1_keria,20.0
handongsuk,tmxk319,11.0
dda_ju,dua3362,22.0
dda_ju,faker,9.0
dda_ju,handongsuk,21.0
dda_ju,lck_korea,13.0
dda_ju,nodolly,14.0
dda_ju,obm1025,14.0
dda_ju,paka9999,7.0
dda_ju,tmxk319,37.0
dda_ju,yd0821,24.0
dda_ju,zilioner,13.0
dua3362,dda_ju,16.0
dua3362,inecr7024,12.0
dua3362,som0322,9.0
dua3362,yd0821,35.0
inecr7024,aba4647,12.0
inecr7024,ailee_official,11.0
inecr7024,dda_ju,28.0
inecr7024,flamekr,14.0
inecr7024,handongsuk,22.0
inecr7024,hwkang2,12.0
inecr7024,johnny3047258,28.0
inecr7024,kato1126,19.0
inecr7024,lck_korea,9.0
inecr7024,leechunhyang,16.0
inecr7024,looksam,29.0
inecr7024,midong1030,14.0
inecr7024,mlchoins,31.0
inecr7024,necklet880707,18.0
inecr7024,nodolly,13.0
inecr7024,paka9999,11.0
inecr7024,parkjand,10.0
inecr7024,pjs9073,24.0
inecr7024,rkdthdus930,32.0
inecr7024,runner0608,19.0
inecr7024,so_urf,11.0
inecr7024,swab85,6.0
inecr7024,tmxk319,21.0
inecr7024,tst1023,26.0
inecr7024,yapyap30,13.0
yd0821,dda_ju,22.0
yd0821,dua3362,27.0
yd0821,inecr7024,21.0
yd0821,lck_korea,19.0
yd0821,tmxk319,15.0
nodolly,aba4647,5.0
nodolly,dakchyo,15.0
nodolly,dda_ju,29.0
nodolly,dopa24,12.0
nodolly,handongsuk,33.0
nodolly,johnny3047258,10.0
nodolly,lck_korea,18.0
nodolly,mlchoins,5.0
nodolly,pjs9073,5.0
nodolly,runner0608,30.0
nodolly,tmxk319,18.0
nodolly,wkgml,13.0
dakchyo,dda_ju,24.0
dakchyo,flamekr,11.0
dakchyo,handongsuk,5.0
dakchyo,inecr7024,23.0
dakchyo,johnny3047258,13.0
dakchyo,lck_korea,21.0
dakchyo,nodolly,26.0
dakchyo,pjs9073,28.0
dakchyo,runner0608,16.0
dakchyo,saddummy,18.0
dakchyo,wkgml,13.0
dakchyo,yd0821,21.0
johnny3047258,dda_ju,13.0
johnny3047258,handongsuk,24.0
johnny3047258,lck_korea,15.0
johnny3047258,nodolly,7.0
johnny3047258,tmxk319,9.0
mlchoins,aba4647,5.0
mlchoins,dakchyo,28.0
mlchoins,dda_ju,20.0
mlchoins,dua3362,21.0
mlchoins,flamekr,17.0
mlchoins,flowervin,16.0
mlchoins,hair_yeonhwa,21.0
mlchoins,handongsuk,25.0
mlchoins,inecr7024,23.0
mlchoins,johnny3047258,11.0
mlchoins,lllllamar,5.0
mlchoins,looksam,9.0
mlchoins,nodolly,37.0
mlchoins,pjs9073,18.0
mlchoins,portialyn,16.0
mlchoins,runner0608,8.0
mlchoins,silversigle,10.0
mlchoins,sorimcaster,14.0
mlchoins,tmxk319,35.0
pjs9073,2chamcham2,11.0
pjs9073,collet11,13.0
pjs9073,handongsuk,17.0
pjs9073,jinjalim,13.0
pjs9073,jinu6734,24.0
pjs9073,kimdduddi,15.0
